class_a,class_b,auc_mean,auc_std,experiment
182135,182135,0.4999338116021826,0.003305104192936355,target
364254,364254,0.6730074365836146,0.0015885804542659697,reverse
364250,364250,0.6459134941610488,0.0014338795303524183,shuffle
363834,363834,0.8039263319349328,0.0020215599302211744,diann
360710,360710,0.6327858325727578,0.0008502507677292156,ESM650M.c
361847,361847,0.63447526367342,0.0013895711300283525,ESM650M.n
361706,361706,0.6880722785917375,0.0007223749369502013,ESM650M.n_c
362485,362485,0.5638955767399481,0.002791744976025148,ESM650M.p01
362669,362669,0.6206001140491095,0.001219893066316476,ESM650M.p02
362703,362703,0.6813051575709675,0.0013123870942398014,ESM650M.p03
